PLUGIN NAME,INSTALLED VERSION,ALLOWED VERSION,AIUTHOR,DESCRIPTION,DISALLOWED COMPONENTS
Python Interpreter,,Up to 0.6.0.3,Robert McNeel and Associates,,Check list
ShapeDiverForGrasshopper,1.32.0,Up to 2.0.0.0,ShapeDiver,The ShapeDiver plugin for Grasshopper.,Check list
GrasshopperBitmap,,Up to 2.0.0.0,,Bitmap component for Grasshopper. Shipped as part of the ShapeDiver plugin.,None
SdGhPdfComponents,1.32.0,Up to 2.0.0.0,ShapeDiver,Grasshopper components for processing of PDFs. Shipped as part of the ShapeDiver plugin.,None
GrasshopperHyperGooComponents,1.32.0,Up to 2.0.0.0,ShapeDiver,Components for working with attributes in Grasshopper. Shipped as part of the ShapeDiver plugin.,None
BitmapComponent,1.32.0,Up to 2.0.0.0,ShapeDiver,Bitmap component for Grasshopper. Shipped as part of the ShapeDiver plugin.,None
Squid (ShapeDiver Edition),1.32.0,Up to 2.0.0.0,Copyright Mateusz Zwierzycki © 2014 and ShapeDiver GmbH © 2024,Draw Bitmaps with Grasshopper. This version of Squid has been slightly modified to be compatible with ShapeDiver features. Shipped as part of the ShapeDiver plugin.,None
Noise 4D,1.0.0.0,Up to 1.0.0.0,Giulio Piacentino,"Return 4D Perlin and Simplex noise, as described by Ken Perlin and in the implementation shown by Stefan Gustavson",None
Anemone,0.4,0.4,Mateusz Zwierzycki,Loops made easy.,Check list
Bifocals,0.5.0.0,0.5.0.0,Marc Syp,"Add floating labels to all components, with a few exceptions.",None
BitmapPlus,1.6.2.0,1.6.2.0,David Mans,A bitmap manipulation plugin for Grasshopper 3d,Check list
Bowerbird,2.8.0.0,2.4.1.0 - 2.8.0.0,Thomas Oberbichler,"Bowerbird is a plugin for Grasshopper which provides tools for modeling. It provides components to create waffle and layer models, a single-line font for labeling with laser cutter and milling.",None
Caterpillar,1.2.0,1.2.0,David Mans,Caterpillar GH is the Grasshopper 3D implementation of the Caterpillar Library which allows for the conversion between different systems of measurement.,None
Chimpanzee,0.4.0.0,0.4.0.0,Matouš Stieber,"Chimpanzee is a Grasshopper plug-in for Rhino 6, Rhino 7 and Rhino Mac written in C# which focuses on fractal math and chaos theory. Chimpanzee contains currently 90 components including strange attractors, map & oscillators, 4D hyperchaotic systems, iterated function systems (IFS) a fractals like Mandelbrot set or Julia set using escape time algorithm.",None
Clipper2GH,1.3.2,1.3.2,"Seghier Mohamed Abdelaziz, Angus Johnson","The Clipper2 library performs intersection, union, difference and XOR boolean operations on both simple and complex polygons. It also performs polygon offsetting.",Check list
ClipperComponents,0.3.3.0,Up to 0.3.3.0,Arend van Waart,"Clipper is a 2D polygon Clipper offering polygon boolean operations (clipping): Intersection, Join, Difference, XOR. Offsets for polygons and Minkowski Sum and Differences.",None
Cockroach,1.0.0.0,1.0.0.0,"Petras Vestartas, Andrea Settimi","Cockroach is a plugin developed to introduce various commands for point cloud post-processing and meshing into Rhinoceros environment based on reference functions already existing in the open-source library Open3D, CGAL, Cilantro.",None
CurveOffsetTools,1.0.0.0,Up to 1.0.0.0,ShapeDiver GmbH,Tools related to generalized curve offsets,None
Dendro,0.9.0.0,Up to 0.9.0.0,ecr labs,"Dendro is a volumetric modeling plug-in for Grasshopper built on top of the OpenVDB library. It provides multiple ways to wrap points, curves, and meshes as a volumetric data type, allowing you to then perform various operations on those volumes. Dendro includes components for boolean, smoothing, offsets, and morphing operations.",Check list
DiversPlugin,1.0.5,Up to 1.0.5,"ShapeDiver GmbH, ShapeDiver","Divers is a small internal toolkit created by the ShapeDiver team. It bundles together the Grasshopper components we kept rebuilding in different projects — the missing utilities, polyline tools, data helpers, and workflow shortcuts that make 3D web configurators easier to build.",None
Droid,2.0.7701.24821,2.0.7701.24821,YTSProject - YT Sebastian Teo,"Droid is a 3D printing related Grasshopper Plug-in Library add-on, with control over model Slicing, Custom paths and Gcode generation. Designed to be used from small desktop 3d Printers, up to large scale Robotic Fabricators using FFF technologies and running from Gcode. Available to be used to prepare and print models in a 'Plug and Play' style with Droid components, or in a more controlled and experimental manner with Custom input and output print paths.",Check list
eleFront,5.4.0,5.4.0,eleFront,"Provides components for baking, modifying, and referencing Rhino objects with user defined attributes.",Check list
Engrave,1.2.0.0,Up to 1.2.0.0,Lab for Architectural Singularity,Creates a geometric representation of a string.,None
Exoskeleton 2,1.0.0.0,Up to 1.0.0.0,Daniel Piker and David Stasiuk,Exoskeleton is a free plug-in for creating meshes. It is currently comprised of two components: Exo Wireframe and Cytoskeleton. Exo Wireframe thickens line/node into watertight meshes. Cytoskeleton thickens the edge network of any existing mesh into a thickened mesh.,None
Fattener,0.0.0.1,0.0.0.1,Daniel Piker,A component for thickening skeletons into closed quad meshes.,None
G E N E R A T I O N,1.0.0.0,Up to 1.0.0.0,Antonio Turiello,"Provides additional components to explore, animate and fabricate generative shapes with Grasshopper®",Check list
ggRhinoIFC,23.9.6.0,2.3.3.0 - 23.9.6.0,Geometry Gym Pty Ltd,"Components to generate OpenBIM IFC files to export to Revit, Archicad, Digital Project, Navisworks and all IFC capable software.",Check list
GhPotrace [ShapeDiver Compatible Version],1.1.0,1.1.0,Foresto Shen and ShapeDiver GmbH,Vectorize a bitmap to curves. This version of Rooster / GhPotrace is modified to be supported on the ShapeDiver Platform.,None
GraphicPlus,1.8.11.0,Up to 1.8.11.0,David Mans,A scalable vector graphics plugin for Grasshopper 3d,Check list
Heteroptera,0.6.2.4,0.6.2.2 - 0.6.2.4,Amin Bahrami - Studio Helioripple,"Heteroptera is a plug-in for grasshopper comprised of a variety of tools in different categories that can be used as a toolbox, but it mostly focuses on Uncertainty and Generation.",Check list
Human,1.3.1,Up to 1.3.1,Andrew Heumann,"Human is a versatile plugin packed with tools that make the life of Grasshopper users much easier. Currently, ShapeDiver supports all the texturing components of Human, which come in handy for rendering your models online.",Check list
IntraLattice,0.7.7.1,0.7.7.1,Aidan Kurtz,IntraLattice plugin by Aidan Kurtz. Modified for compatibility with ShapeDiver Cloud Platform.,Check list
Jackalope,1.0.0.3,Up to 1.0.0.3,Robert McNeel & Associates,"Jackalope is a Grasshopper plugin that implements the standard Rhino space morph operations: Bend, Flow, Maelstrom, Splop, Splorph, Stretch, Taper, and Twist.",None
jSwan,1.2.0,1.2.0,Andrew Heumann,A utility library for deserializing and composing JSON.,None
Kangaroo2 Components,2.5.3,2.4.2 - 2.6.0,Daniel Piker,"Components for form-finding, physics simulation, geometric constraint solving and optimization",Check list
Karamba3D,Karamba3D 2.2.0.14-220613,0.0.0.1 - 2.2.0.14,Clemens Preisinger,"Karamba3D is an interactive, parametric finite element program. It lets you analyze the response of 3-dimensional beam and shell structures under arbitrary loads. The trial version of Karamba is installed on our shared systems, which limits the number of elements. If you want to use the PRO version of Karamba, please contact us.",Check list
LunchBox,2020.11.2.0,Up to 2020.11.2.0,Nathan Miller,"LunchBox is a plugin for exploring mathematical shapes, paneling, structures, and workflow. ShapeDiver users who need to implement design to production workflows will appreciate in particular its precious unrolling tool.",Check list
