"From","To","Port"
"File Path","Import Image","File"
"Read","Import Image","Rectangle"
"File Path","Read","Path"
"Read","Isotrim","Surface"
"Divide Domain?","Isotrim","Domain"
"Construct Domain?","Divide Domain?","Domain"
"Number Slider","Divide Domain?","U Count"
"Division","Divide Domain?","V Count"
"Read","Dimensions","Surface"
"Dimensions","Division","A"
"Number Slider","Division","B"
"Dimensions","Division","A"
"Division","Division","B"
"Colour","Text Split","Text"
"Panel","Text Split","Separators"
"Dispatch","Custom Preview","Geometry"
"Dispatch","Custom Preview","Material"
"Text Split","K-Means Clustering","Training Inputs"
"Number Slider [amount of colors for big panels]","K-Means Clustering","# of Clusters"
"List Item","Colour RGB","Red"
"List Item","Colour RGB","Green"
"List Item","Colour RGB","Blue"
"Area","Mesh Closest Point","Point"
"Import Image","Mesh Closest Point","Mesh"
"Import Image","Mesh Eval","Mesh"
"Mesh Closest Point","Mesh Eval","Parameter"
"Mesh Eval","Colour","(in)"
"Surface","Isotrim","Surface"
"Divide Domain?","Isotrim","Domain"
"List Item","Surface","(in)"
"Construct Domain?","Divide Domain?","Domain"
"Number Slider [amount of color pickers]","Divide Domain?","U Count"
"Number Slider [amount of color pickers]","Divide Domain?","V Count"
"Area","Mesh Closest Point","Point"
"Import Image","Mesh Closest Point","Mesh"
"Import Image","Mesh Eval","Mesh"
"Mesh Closest Point","Mesh Eval","Parameter"
"Colour","Text Split","Text"
"Panel","Text Split","Separators"
"Text Split","K-Means Clustering","Training Inputs"
"Number Slider [amount of colors for colors]","K-Means Clustering","# of Clusters"
"Mesh Eval","Colour","(in)"
"K-Means Clustering","Member Index","Set"
"Create Set","Member Index","Member"
"K-Means Clustering","Create Set","List"
"Dispatch","Custom Preview","Geometry"
"Dispatch","Custom Preview","Material"
"List Item","Colour RGB","Red"
"List Item","Colour RGB","Green"
"List Item","Colour RGB","Blue"
"Isotrim","List Length","List"
"Number Slider [cell_selection]","Remap Numbers","Value"
"List Length","Remap Numbers","Target"
"Isotrim","Dispatch","List"
"Boolean Toggle [way of working]","Dispatch","Dispatch pattern"
"List Item","Dispatch","List"
"Boolean Toggle [way of working]","Dispatch","Dispatch pattern"
"Surface","Dispatch","List"
"Boolean Toggle [way of working]","Dispatch","Dispatch pattern"
"List Item","Dispatch","List"
"Boolean Toggle [way of working]","Dispatch","Dispatch pattern"
"Read","Surface","(in)"
"Stream Gate","Diamond Panels","Surface"
"Number Slider","Diamond Panels","U Divisions"
"Number Slider","Diamond Panels","V Divisions"
"Stream Gate","Hexagon Cells","Surface"
"Number Slider","Hexagon Cells","U Divisions"
"Number Slider","Hexagon Cells","V Divisions"
"Stream Gate","Triangular Panels A","Surface"
"Number Slider","Triangular Panels A","U Divisions"
"Number Slider","Triangular Panels A","V Divisions"
"Stream Gate","Quad Panels","Surface"
"Number Slider","Quad Panels","U Divisions"
"Number Slider","Quad Panels","V Divisions"
"Point","Pull Point","Point"
"Relay","Pull Point","Geometry"
"Pull Point","Dispatch","List"
"Smaller Than","Dispatch","Dispatch pattern"
"Dispatch","Geometry [output points divided to surfaces]","(in)"
"Pull Point","Smaller Than","First Number"
"Panel","Smaller Than","Second Number"
"Area","Point","(in)"
"Merge","Geometry [Output panels]","(in)"
"Geometry [Output panels]","Relay","(in)"
"List Item","File Path","(in)"
"Dispatch","Surface [CELLS]","(in)"
"Surface [CELLS]","Deconstruct Brep","Brep"
"Flip Curve","Extrude","Base"
"Unit Z","Extrude","Direction"
"Number Slider","Unit Z","Factor"
"Extrude","Offset Surface","Surface"
"Number Slider","Offset Surface","Distance"
"Negative","Offset Surface","Both Sides"
"Boolean Toggle","Offset Surface","Create Solid"
"Deconstruct Brep","Flip Curve","Curve"
"Number Slider","Negative","Value"
"Negative","Unit Z","Factor"
"Extrude","Move","Geometry"
"Unit Z","Move","Motion"
"Division","Unit Z","Factor"
"Number Slider","Division","A"
"Panel","Division","B"
"Number Slider","Negative","Value"
"Move","Extrude","Base"
"Multiplication","Extrude","Direction"
"Unit Z","Negative","Value"
"Flip Curve","Offset Curve","Curve"
"Subtraction","Offset Curve","Distance"
"Surface [CELLS]","Flip Curve","Curve"
"Offset Curve","Surface","(in)"
"Number Slider","Negative","Value"
"Colour","Create Material","Diffuse"
"Number Slider","Create Material","Transparency"
"Rotate","Brep","(in)"
"Publish","Panel","(in)"
"Speckle Model","Publish","Speckle Model"
"Create Collection","Publish","Collection"
"Dispatch","Colour","(in)"
"Offset Surface","Rotate","Geometry"
"YZ Plane","Rotate","Plane"
"Move","Rotate","Geometry"
"YZ Plane","Rotate","Plane"
"Speckle Geometry","Custom Preview","Geometry"
"Speckle Geometry","Custom Preview","Material"
"Mesh","Custom Preview","Geometry"
"Model Material","Custom Preview","Material"
"Colour Swatch","Create Material","Diffuse"
"Colour Swatch","Create Material","Specular"
"Rotate","Brep","(in)"
"Create Material","Model Material","(in)"
"Create Material","Model Material","(in)"
"Surface","Move","Geometry"
"Unit Z","Move","Motion"
"Brep","Mesh","(in)"
"Brep","Mesh","(in)"
"List Item","Deconstruct Brep","Brep"
